filename treatment update average
edit_explode_denovo_00002_54 edit_explode_denovo_00002 14000 1.53317
edit_explode_denovo_00002_54 edit_explode_denovo_00002 15000 1.71759
edit_explode_denovo_00002_54 edit_explode_denovo_00002 16000 1.95766
edit_explode_denovo_00002_54 edit_explode_denovo_00002 17000 2.16576
edit_explode_denovo_00002_54 edit_explode_denovo_00002 18000 2.34354
edit_explode_denovo_00002_54 edit_explode_denovo_00002 19000 2.59059
edit_explode_denovo_00002_54 edit_explode_denovo_00002 20000 2.94033
edit_explode_denovo_00002_54 edit_explode_denovo_00002 21000 3.20773
edit_explode_denovo_00002_54 edit_explode_denovo_00002 22000 3.59043
edit_explode_denovo_00002_54 edit_explode_denovo_00002 23000 3.93865
edit_explode_denovo_00002_54 edit_explode_denovo_00002 24000 2.83822
edit_explode_denovo_00002_54 edit_explode_denovo_00002 25000 1.90402
edit_explode_denovo_00002_54 edit_explode_denovo_00002 26000 2.43868
edit_explode_denovo_00002_54 edit_explode_denovo_00002 27000 3.07925
edit_explode_denovo_00002_54 edit_explode_denovo_00002 28000 2.97141
edit_explode_denovo_00002_54 edit_explode_denovo_00002 29000 2.78598
edit_explode_denovo_00002_54 edit_explode_denovo_00002 30000 2.88734
edit_explode_denovo_00002_54 edit_explode_denovo_00002 31000 2.70091
edit_explode_denovo_00002_54 edit_explode_denovo_00002 32000 2.42434
edit_explode_denovo_00002_54 edit_explode_denovo_00002 33000 2.3531
edit_explode_denovo_00002_54 edit_explode_denovo_00002 34000 2.44807
edit_explode_denovo_00002_54 edit_explode_denovo_00002 35000 2.15063
edit_explode_denovo_00002_54 edit_explode_denovo_00002 36000 2.10642
edit_explode_denovo_00002_54 edit_explode_denovo_00002 37000 2.11883
edit_explode_denovo_00002_54 edit_explode_denovo_00002 38000 2.01571
edit_explode_denovo_00002_54 edit_explode_denovo_00002 39000 2.06353
edit_explode_denovo_00002_54 edit_explode_denovo_00002 40000 2.17403
edit_explode_denovo_00002_54 edit_explode_denovo_00002 41000 2.08045
edit_explode_denovo_00002_54 edit_explode_denovo_00002 42000 1.82984
edit_explode_denovo_00002_54 edit_explode_denovo_00002 43000 1.81606
edit_explode_denovo_00002_54 edit_explode_denovo_00002 44000 3.2301
edit_explode_denovo_00002_54 edit_explode_denovo_00002 45000 1.84252
edit_explode_denovo_00002_54 edit_explode_denovo_00002 46000 1.66627
edit_explode_denovo_00002_54 edit_explode_denovo_00002 47000 1.31697
edit_explode_denovo_00002_54 edit_explode_denovo_00002 48000 1.35785
